,title,question,names,x,y
0,0,sandwich cookie,0,0.2922433018684387,0.3674362301826477
1,1,black-and-white cookie,1,0.5134910941123962,0.45870742201805115
2,2,popular cookie,2,0.31170663237571716,0.6114394664764404
3,3,sweet sandwich,3,0.308724045753479,1.0
4,4,creme-filled cookie,4,0.2791231870651245,0.8151899576187134
5,5,nabisco cookie,5,0.43120071291923523,0.4675019383430481
6,6,cookie favorite,6,0.3685359060764313,0.5792970061302185
7,7,layered cookie,7,0.4247136116027832,0.5425876975059509
8,8,black-and-white treat,8,0.37421008944511414,0.488572359085083
9,9,two-tone treat,9,0.2874273955821991,0.3073495924472809
10,10,two-tone cookie,10,0.32940903306007385,0.5735830068588257
11,11,hydrox rival,11,0.552531361579895,0.5717595815658569
12,12,triple-decker cookie,12,0.2547065019607544,0.49987637996673584
13,13,black-and-white cookies,13,0.40736427903175354,0.6696009039878845
14,14,nabisco treat,14,0.41960546374320984,0.5238153338432312
15,15,cream-filled cookie,15,0.49260759353637695,0.3515153229236603
16,16,twistable cookie,16,0.5389794111251831,0.49911773204803467
17,17,best-selling cookie,17,0.2047267109155655,0.5008701682090759
18,18,sandwich cookies,18,0.4152814745903015,0.36547085642814636
19,19,twistable treat,19,0.4842466115951538,0.5471455454826355
20,20,black-and-white snack,20,0.549951434135437,0.4943520426750183
21,21,cookie since 1912,21,0.7611819505691528,0.5254001021385193
22,22,creme cookie,22,0.39554736018180847,0.6091938614845276
23,23,cookie brand,23,0.30701887607574463,0.41838541626930237
24,24,lunchbox treat,24,0.2547999620437622,0.5662196278572083
25,25,dunkable treat,25,0.3881688714027405,0.5535473823547363
26,26,three-layer cookie,26,0.29419562220573425,0.5688790082931519
27,27,classic cookie,27,0.3025279939174652,0.6401755809783936
28,28,cookie many take apart,28,0.6048930883407593,0.5119525790214539
29,29,milk's favorite cookie,29,0.23822231590747833,0.36742064356803894
30,30,modern ice cream flavor,30,0.4847494661808014,0.3948404788970947
31,31,black-and-white snacks,31,0.6546785235404968,0.4794590175151825
32,32,double stuf cookie,32,0.20536252856254578,0.5049765110015869
33,33,creme-filled snack,33,0.28766486048698425,0.5447900295257568
34,34,two-toned treat,34,0.12037622183561325,0.3319069743156433
35,35,nabisco cookies,35,0.5235520005226135,0.5048235058784485
36,36,snack in a stack,36,0.38807544112205505,0.5829072594642639
37,37,black-and-white bite,37,0.5082024335861206,0.427406370639801
38,38,nabisco favorite,38,0.42187708616256714,0.567756175994873
39,39,black and white cookie,39,0.4963667094707489,0.5358172059059143
40,40,white-centered snack,40,0.7835972309112549,0.4914896786212921
41,41,three-part cookies,41,0.1205744743347168,0.5197545886039734
42,42,nabisco goodie,42,0.4130145311355591,0.6420878171920776
43,43,biscuit introduced in 1912,43,0.03549085184931755,0.582556962966919
44,44,snack since 1912,44,0.3453468680381775,0.36375999450683594
45,45,popular cookies,45,0.3222586214542389,0.5748307108879089
46,46,stackable cookie,46,0.635722279548645,0.5348425507545471
47,47,triple-decker treat,47,0.38422927260398865,0.35183456540107727
48,48,nabisco brand,48,0.44370684027671814,0.44155192375183105
49,49,double delight snack,49,0.41443750262260437,0.6920256018638611
50,50,treat with milk,50,0.3355312943458557,0.4381394684314728
51,51,lunchbox dessert,51,0.4386257827281952,0.8006723523139954
52,52,dunkable cookie,52,0.5437719821929932,0.5675921440124512
53,53,three-layer treat,53,0.4472908675670624,0.558836817741394
54,54,layered treat,54,0.4406052827835083,0.1441604644060135
55,55,layered snack,55,0.4096241295337677,0.46966803073883057
56,56,cookie often eaten inside-out,56,0.43196696043014526,0.686173677444458
57,57,mcflurry flavor,57,0.42023640871047974,0.712458610534668
58,58,cookie choice,58,0.27881330251693726,0.5569061040878296
59,59,common cookie,59,0.40450751781463623,0.5626901984214783
60,60,cookie introduced in 1912,60,0.6279317736625671,0.5144621729850769
61,61,hydrox competitor,61,0.3746391534805298,0.5332546830177307
62,62,popular sandwich cookie,62,0.2953036427497864,0.3692529797554016
63,63,nabisco nibble,63,0.4627491235733032,0.5596886873245239
64,64,creme-filled treat,64,0.5289036631584167,0.07682107388973236
65,65,after-lunch sandwich,65,0.5355576276779175,0.366455078125
66,66,two-toned cookie,66,0.2740005850791931,0.3458681106567383
67,67,bicolor bite,67,0.2850440740585327,0.7868536710739136
68,68,cookie with creme,68,0.4106824994087219,0.7927594780921936
69,69,circular snack,69,0.3821505904197693,0.7572569847106934
70,70,droxie alternative,70,0.4207947552204132,0.5600438117980957
71,71,filled cookie,71,0.32321128249168396,0.5071192979812622
72,72,layered cookies,72,0.42951273918151855,0.5191636085510254
73,73,sweet sandwiches,73,0.4229312539100647,0.12314214557409286
74,74,two-tone treats,74,0.43863168358802795,0.578569233417511
75,75,lunchbox treats,75,0.24851688742637634,0.054635774344205856
76,76,treats with milk,76,0.08477089554071426,0.39807361364364624
77,77,hydrox alternative,77,0.6061074137687683,0.6865402460098267
78,78,nabisco bestseller,78,0.3951418697834015,0.5567911267280579
79,79,vowel-rich cookie,79,0.5166933536529541,0.519159197807312
80,80,stackable snack,80,0.4764164984226227,0.4357660114765167
