,title,question,names,x,y
0,0,sandwich cookie,0,0.6388987898826599,0.40235599875450134
1,1,black-and-white cookie,1,0.5960010290145874,0.43956294655799866
2,2,popular cookie,2,0.49391597509384155,0.7472165822982788
3,3,mountain: prefix,3,0.9883371591567993,0.5562946200370789
4,4,sweet sandwich,4,0.7594141960144043,0.5717943906784058
5,5,creme-filled cookie,5,0.5375102162361145,0.4193979799747467
6,6,nabisco cookie,6,0.5704699754714966,0.6495811343193054
7,7,cookie favorite,7,0.6897116303443909,0.7470077276229858
8,8,mountain: comb form,8,0.7882964611053467,0.5802146196365356
9,9,layered cookie,9,0.4432879090309143,0.7171170115470886
10,10,black-and-white treat,10,0.4933222830295563,0.5750812292098999
11,11,two-tone treat,11,0.5551129579544067,0.6209550499916077
12,12,two-tone cookie,12,0.42833012342453003,0.6072448492050171
13,13,hydrox rival,13,0.7694741487503052,0.6485145688056946
14,14,triple-decker cookie,14,0.3850753605365753,0.4469265341758728
15,15,black-and-white cookies,15,0.48228925466537476,0.5563026070594788
16,16,nabisco treat,16,0.5568209886550903,0.6046841740608215
17,17,cream-filled cookie,17,0.5799844264984131,0.44958367943763733
18,18,twistable cookie,18,0.6925883293151855,0.5626055598258972
19,19,best-selling cookie,19,0.6667348742485046,0.5884764790534973
20,20,sandwich cookies,20,0.44616854190826416,0.31211456656455994
21,21,twistable treat,21,0.3848670721054077,0.7141318321228027
22,22,black-and-white snack,22,0.45666512846946716,0.42575567960739136
23,23,cookie since 1912,23,0.6711928844451904,0.6917662024497986
24,24,creme cookie,24,0.5154047608375549,0.3296937942504883
25,25,cookie brand,25,0.5076140761375427,0.9048552513122559
26,26,lunchbox treat,26,0.4984644651412964,0.6900182962417603
27,27,dunkable treat,27,0.5773835182189941,0.7204313278198242
28,28,three-layer cookie,28,0.42511290311813354,0.5658791661262512
29,29,classic cookie,29,0.5280595421791077,0.7649574875831604
30,30,cookie many take apart,30,0.6320845484733582,0.619587779045105
31,31,milk's favorite cookie,31,0.4479355812072754,0.4899594783782959
32,32,modern ice cream flavor,32,0.608647346496582,0.4313092827796936
33,33,black-and-white snacks,33,0.4924962818622589,0.9408082962036133
34,34,double stuf cookie,34,0.7429741024971008,0.686076819896698
35,35,creme-filled snack,35,0.4692799746990204,0.6084225177764893
36,36,two-toned treat,36,0.5087328553199768,0.660857081413269
37,37,nabisco cookies,37,0.5083109736442566,0.61129230260849
38,38,snack in a stack,38,0.5344575047492981,0.5541772842407227
39,39,black-and-white bite,39,0.6803686022758484,0.5147093534469604
40,40,nabisco favorite,40,0.5257982015609741,0.5893821716308594
41,41,black and white cookie,41,0.5654555559158325,0.5323956608772278
42,42,white-centered snack,42,0.11919181048870087,0.548861563205719
43,43,three-part cookies,43,0.5914008021354675,0.5273582339286804
44,44,nabisco goodie,44,0.579166829586029,0.6011003255844116
45,45,biscuit introduced in 1912,45,0.5953038930892944,0.43503478169441223
46,46,snack since 1912,46,0.5654609203338623,0.7479882836341858
47,47,popular cookies,47,0.6330897808074951,0.5530697703361511
48,48,stackable cookie,48,0.7862133979797363,0.6074029803276062
49,49,triple-decker treat,49,0.4863506257534027,0.546420693397522
50,50,nabisco brand,50,0.7164767384529114,0.591663122177124
51,51,double delight snack,51,0.430361807346344,0.3617568016052246
52,52,treat with milk,52,0.5566992163658142,0.8173516988754272
53,53,lunchbox dessert,53,0.5683557391166687,0.5444540977478027
54,54,dunkable cookie,54,0.6525008678436279,0.603686511516571
55,55,three-layer treat,55,0.6667524576187134,0.5152852535247803
56,56,layered treat,56,0.43614256381988525,0.4197213053703308
57,57,layered snack,57,0.5427231192588806,0.47013092041015625
58,58,cookie often eaten inside-out,58,0.5812546610832214,0.6071710586547852
59,59,mcflurry flavor,59,0.7914565801620483,0.49947279691696167
60,60,cookie choice,60,0.5257806777954102,0.6190677285194397
61,61,common cookie,61,0.5042647123336792,0.7354052662849426
62,62,cookie introduced in 1912,62,0.37712839245796204,0.5899804830551147
63,63,hydrox competitor,63,0.667129635810852,0.4519437849521637
64,64,popular sandwich cookie,64,0.5153474807739258,0.6349728107452393
65,65,nabisco nibble,65,0.45834189653396606,0.6166471242904663
66,66,creme-filled treat,66,0.566944420337677,0.5590353012084961
67,67,after-lunch sandwich,67,0.6808975338935852,0.5939555764198303
68,68,two-toned cookie,68,0.5612534284591675,0.4839524030685425
69,69,bicolor bite,69,0.5223798155784607,0.5430752635002136
70,70,cookie with creme,70,0.6920771598815918,0.5007615685462952
71,71,circular snack,71,0.5947968363761902,0.5167253613471985
72,72,droxie alternative,72,0.7419243454933167,0.5132867693901062
73,73,filled cookie,73,0.5480043888092041,0.837838351726532
74,74,layered cookies,74,0.33515235781669617,0.5926560163497925
75,75,sweet sandwiches,75,0.5594052672386169,0.999622106552124
76,76,two-tone treats,76,0.48147809505462646,0.7688853740692139
77,77,lunchbox treats,77,0.49501901865005493,0.7079074382781982
78,78,treats with milk,78,0.5295467972755432,0.7567334175109863
79,79,hydrox alternative,79,0.5048105716705322,0.6154834628105164
80,80,nabisco bestseller,80,0.5701740980148315,0.5555686950683594
81,81,vowel-rich cookie,81,0.4385218024253845,0.6989877820014954
82,82,stackable snack,82,0.5884521007537842,0.4461021423339844
83,83,cakesters brand,83,0.6163516640663147,0.5786142349243164
84,84,three-layer snack,84,0.43338051438331604,0.6047369241714478
85,85,nabisco product,85,0.5596524477005005,0.5877364277839661
86,86,treat for cookie monster,86,0.48577383160591125,0.45203715562820435
87,87,creme-filled chocolate cookie,87,0.5192564129829407,0.630229115486145
88,88,crunchy ice-cream ingredient,88,0.6129687428474426,0.43163183331489563
89,89,snack cookie,89,0.5510473847389221,0.5463432669639587
90,90,sandwich-cookie name,90,0.5324273705482483,0.4281497895717621
91,91,twist-apart treat,91,0.601972222328186,0.3778873682022095
92,92,cream-filled cookies,92,0.6792938113212585,0.8899992108345032
93,93,creme-filled cookies,93,0.536738932132721,0.5412993431091309
94,94,double stuf treats,94,0.6666767001152039,0.5231040716171265
95,95,nabisco nosh,95,0.5954995155334473,0.7594093084335327
96,96,chocolate cookie,96,0.5979774594306946,0.6161829829216003
97,97,round sandwich,97,0.7502506971359253,0.6026425361633301
98,98,twistable snack,98,0.44815850257873535,0.3986113965511322
99,99,twist-apart cookie,99,0.6241787672042847,0.5869084000587463
100,100,after-school treat,100,0.583170473575592,0.5141903162002563
101,101,two-color cookie,101,0.7430324554443359,0.5760406851768494
102,102,popular cookie brand,102,0.544873058795929,0.6736528277397156
103,103,white-centered cookie,103,0.5653777718544006,0.5830059051513672
104,104,nabisco mainstay,104,0.5908708572387695,0.6046746373176575
105,105,cookie in some klondike bars,105,0.5689712166786194,0.8160637021064758
106,106,stackable cookies,106,0.36378782987594604,0.5875802040100098
107,107,after-lunch sandwiches,107,0.6489503979682922,0.7907523512840271
108,108,sandwiches for dessert,108,0.5595957636833191,0.5033121705055237
109,109,two-tone cookies,109,0.3127215504646301,0.5690458416938782
110,110,after-school snack,110,0.5795143842697144,0.5371986031532288
111,111,hydrox lookalike,111,0.5937114357948303,0.5514835715293884
112,112,sandwich snack,112,0.5925761461257935,0.5694056749343872
113,113,nabisco classic,113,0.5452017188072205,0.6168258190155029
114,114,sweet snack,114,0.5837552547454834,0.6101593971252441
115,115,black and white treat,115,0.49553725123405457,0.5691863894462585
116,116,hydrox look-alike,116,0.782861053943634,0.7669321298599243
117,117,dunkable dessert,117,0.5724233984947205,0.5401319861412048
118,118,sweet treat,118,0.5666524171829224,0.6768789887428284
119,119,double stuf treat,119,0.5937570333480835,0.5223698616027832
120,120,three-ply snack,120,0.5491310358047485,0.6031262874603271
121,121,three-part snack,121,0.5982356071472168,0.5232725739479065
122,122,wonderfilled cookie,122,0.5616417527198792,0.5893415808677673
123,123,double delight cookie,123,0.6151439547538757,0.5976366400718689
124,124,popular snack,124,0.39960339665412903,0.5508440136909485
125,125,sweet treat since 1912,125,0.6410986185073853,0.5930542945861816
126,126,three-tier cookie,126,0.4071730673313141,0.7174741625785828
