,title,question,names,x,y
0,0,sandwich cookie,0,0.9128375053405762,0.31018540263175964
1,1,black-and-white cookie,1,0.8718191981315613,0.33539333939552307
2,2,popular cookie,2,0.0,1.0
3,3,mountain: prefix,3,0.965302050113678,0.2803332209587097
4,4,sweet sandwich,4,0.9099450707435608,0.40588393807411194
5,5,creme-filled cookie,5,0.8410965204238892,0.17730069160461426
6,6,nabisco cookie,6,0.7233448028564453,0.18227547407150269
7,7,cookie favorite,7,0.7571163177490234,0.3392640948295593
8,8,mountain: comb form,8,0.8980904817581177,0.2044156938791275
9,9,layered cookie,9,0.6655826568603516,0.36215606331825256
10,10,black-and-white treat,10,0.9069740176200867,0.46754807233810425
11,11,two-tone treat,11,0.8847144842147827,0.04813001677393913
12,12,two-tone cookie,12,0.7698786854743958,0.2493920922279358
13,13,hydrox rival,13,0.8838382959365845,0.3017648756504059
14,14,triple-decker cookie,14,0.7134578227996826,0.3544042408466339
15,15,black-and-white cookies,15,0.8086318373680115,0.49743548035621643
16,16,nabisco treat,16,0.8796194791793823,0.37074151635169983
17,17,cream-filled cookie,17,0.8594431281089783,0.23185400664806366
18,18,twistable cookie,18,0.7451319694519043,0.36968448758125305
19,19,best-selling cookie,19,0.7545844316482544,0.38649287819862366
20,20,sandwich cookies,20,0.9277245998382568,0.21960245072841644
21,21,twistable treat,21,0.9077778458595276,0.1353387087583542
22,22,black-and-white snack,22,0.8530910611152649,0.6425064206123352
23,23,cookie since 1912,23,0.8405389785766602,0.3656597137451172
24,24,creme cookie,24,0.8392462134361267,0.1955001950263977
25,25,cookie brand,25,0.7436512112617493,0.22984585165977478
26,26,lunchbox treat,26,0.9156476259231567,0.1467624008655548
27,27,dunkable treat,27,0.8943936228752136,0.029964568093419075
28,28,three-layer cookie,28,0.6975281238555908,0.42650243639945984
29,29,classic cookie,29,0.7720326781272888,0.4979873299598694
30,30,cookie many take apart,30,0.9092189073562622,0.2893095314502716
31,31,milk's favorite cookie,31,0.8736053705215454,0.4022703468799591
32,32,modern ice cream flavor,32,0.8105155825614929,0.337375670671463
33,33,black-and-white snacks,33,0.8595890402793884,0.6411409974098206
34,34,double stuf cookie,34,0.7394962906837463,0.40860602259635925
35,35,creme-filled snack,35,0.7964144945144653,0.2961662709712982
36,36,two-toned treat,36,0.9224982261657715,0.05544627085328102
37,37,nabisco cookies,37,0.8222525715827942,0.48936596512794495
38,38,snack in a stack,38,0.8482793569564819,0.21490299701690674
39,39,black-and-white bite,39,0.7930268049240112,0.32740074396133423
40,40,nabisco favorite,40,0.8445472717285156,0.20793838798999786
41,41,black and white cookie,41,0.8718193769454956,0.33539333939552307
42,42,white-centered snack,42,0.7889112830162048,0.3650209903717041
43,43,three-part cookies,43,0.9412268996238708,0.37500301003456116
44,44,nabisco goodie,44,0.849293053150177,0.1851234883069992
45,45,biscuit introduced in 1912,45,0.7389317750930786,0.1902245134115219
46,46,snack since 1912,46,0.8431665897369385,0.3359532952308655
47,47,popular cookies,47,0.9422494769096375,0.4067889153957367
48,48,stackable cookie,48,0.7648829221725464,0.41024357080459595
49,49,triple-decker treat,49,0.9226548671722412,0.10279236733913422
50,50,nabisco brand,50,0.8072030544281006,0.30088672041893005
51,51,double delight snack,51,0.8489923477172852,0.14259448647499084
52,52,treat with milk,52,0.8857045769691467,0.5889522433280945
53,53,lunchbox dessert,53,0.8458333611488342,0.334130197763443
54,54,dunkable cookie,54,0.7448786497116089,0.3453238904476166
55,55,three-layer treat,55,0.8993738293647766,0.13395050168037415
56,56,layered treat,56,0.9267426133155823,0.03072195127606392
57,57,layered snack,57,0.8045063018798828,0.22212523221969604
58,58,cookie often eaten inside-out,58,0.7587361931800842,0.5246145725250244
59,59,mcflurry flavor,59,0.9218958020210266,0.33392688632011414
60,60,cookie choice,60,0.7545844316482544,0.38649287819862366
61,61,common cookie,61,0.7891916632652283,0.26985135674476624
62,62,cookie introduced in 1912,62,0.8413389325141907,0.36402446031570435
63,63,hydrox competitor,63,0.8802549839019775,0.32000383734703064
64,64,popular sandwich cookie,64,0.9047999978065491,0.3106772005558014
65,65,nabisco nibble,65,0.8220335245132446,0.20771120488643646
66,66,creme-filled treat,66,0.8432286977767944,0.46832507848739624
67,67,after-lunch sandwich,67,0.9079095721244812,0.3548949658870697
68,68,two-toned cookie,68,0.756589412689209,0.3790026605129242
69,69,bicolor bite,69,0.8477652072906494,0.30442023277282715
70,70,cookie with creme,70,0.8202869892120361,0.1764024794101715
71,71,circular snack,71,0.8032002449035645,0.19492383301258087
72,72,droxie alternative,72,0.8828250765800476,0.18868526816368103
73,73,filled cookie,73,0.756589412689209,0.3790026605129242
74,74,layered cookies,74,0.9430212378501892,0.46361497044563293
75,75,sweet sandwiches,75,0.9243234992027283,0.3165011703968048
76,76,two-tone treats,76,0.8964621424674988,0.07022153586149216
77,77,lunchbox treats,77,0.8875049948692322,0.13614991307258606
78,78,treats with milk,78,0.8857050538063049,0.5889509916305542
79,79,hydrox alternative,79,0.9030849933624268,0.2177157998085022
80,80,nabisco bestseller,80,0.835275411605835,0.20629146695137024
81,81,vowel-rich cookie,81,0.7606266140937805,0.4699479341506958
82,82,stackable snack,82,0.8329798579216003,0.16227519512176514
83,83,cakesters brand,83,0.9667233824729919,0.3647809326648712
84,84,three-layer snack,84,0.8313456773757935,0.12284695357084274
