,title,question,names,x,y
0,0,sandwich cookie,0,0.043469835072755814,0.9599478244781494
1,1,black-and-white cookie,1,0.038703132420778275,0.9589425325393677
2,2,popular cookie,2,0.03941606730222702,0.9977784156799316
3,3,sweet sandwich,3,1.0,0.0
4,4,creme-filled cookie,4,0.029254065826535225,0.9556076526641846
5,5,nabisco cookie,5,0.0436893068253994,0.9662727117538452
6,6,cookie favorite,6,0.03813180327415466,0.9768463969230652
7,7,layered cookie,7,0.028432395309209824,0.9867173433303833
8,8,black-and-white treat,8,0.034764789044857025,0.9535256028175354
9,9,two-tone treat,9,0.02403675578534603,0.9459363222122192
10,10,two-tone cookie,10,0.029869435355067253,0.9744653701782227
11,11,hydrox rival,11,0.02451094426214695,0.9710841774940491
12,12,triple-decker cookie,12,0.044017281383275986,0.9813931584358215
13,13,black-and-white cookies,13,0.05353877693414688,0.9678842425346375
14,14,nabisco treat,14,0.03702341392636299,0.9495273232460022
15,15,cream-filled cookie,15,0.023808538913726807,0.9564831256866455
16,16,twistable cookie,16,0.029849568381905556,0.98980313539505
17,17,best-selling cookie,17,0.029108796268701553,0.9928075671195984
18,18,sandwich cookies,18,0.05204607546329498,0.9667510390281677
19,19,twistable treat,19,0.026177577674388885,0.9406512379646301
20,20,black-and-white snack,20,0.043238043785095215,0.9651885032653809
21,21,cookie since 1912,21,0.019098550081253052,0.9719668030738831
22,22,creme cookie,22,0.03498268127441406,0.959919273853302
23,23,cookie brand,23,0.027895260602235794,0.9586453437805176
24,24,lunchbox treat,24,0.023040862753987312,0.9488040804862976
25,25,dunkable treat,25,0.027943400666117668,0.9562295079231262
26,26,three-layer cookie,26,0.04683074355125427,0.987768828868866
27,27,classic cookie,27,0.022002695128321648,0.9918516278266907
28,28,cookie many take apart,28,0.01980649307370186,0.9423773884773254
29,29,milk's favorite cookie,29,0.04201924055814743,0.9665268659591675
30,30,modern ice cream flavor,30,0.03582737222313881,0.9738495349884033
31,31,black-and-white snacks,31,0.041799917817115784,0.9651796817779541
32,32,double stuf cookie,32,0.015160460025072098,0.980980634689331
33,33,creme-filled snack,33,0.04886406287550926,0.9660317897796631
34,34,two-toned treat,34,0.024376925081014633,0.9524428248405457
35,35,nabisco cookies,35,0.04144052043557167,0.9698190689086914
36,36,snack in a stack,36,0.010700251907110214,0.9570953845977783
37,37,black-and-white bite,37,0.02683970518410206,0.947517991065979
38,38,nabisco favorite,38,0.04121285304427147,0.960020899772644
39,39,black and white cookie,39,0.03905944898724556,0.9626215696334839
40,40,white-centered snack,40,0.04103415831923485,0.9524571895599365
41,41,three-part cookies,41,0.027527999132871628,0.95652174949646
42,42,nabisco goodie,42,0.046302132308483124,0.9731573462486267
43,43,biscuit introduced in 1912,43,0.028210286051034927,0.9638267755508423
44,44,snack since 1912,44,0.03095630183815956,0.9584959745407104
45,45,popular cookies,45,0.025808455422520638,0.9651646018028259
46,46,stackable cookie,46,0.034812942147254944,0.9721940159797668
47,47,triple-decker treat,47,0.024644749239087105,0.9627353549003601
48,48,nabisco brand,48,0.03057689405977726,0.9644014239311218
49,49,double delight snack,49,0.01704397425055504,0.9661258459091187
50,50,treat with milk,50,0.030623670667409897,0.9428831934928894
51,51,lunchbox dessert,51,0.026481589302420616,0.9539155960083008
52,52,dunkable cookie,52,0.022771604359149933,0.9909219145774841
53,53,three-layer treat,53,0.019386231899261475,0.9570608139038086
54,54,layered treat,54,0.01606323942542076,0.9521859288215637
55,55,layered snack,55,0.012829242274165154,0.9673360586166382
56,56,cookie often eaten inside-out,56,0.019204488024115562,0.9734084010124207
57,57,mcflurry flavor,57,0.02095886319875717,0.9788452982902527
58,58,cookie choice,58,0.02683451399207115,0.9736603498458862
59,59,common cookie,59,0.019146595150232315,0.977538526058197
60,60,cookie introduced in 1912,60,0.023504488170146942,0.9685535430908203
61,61,hydrox competitor,61,0.024386895820498466,0.9644955396652222
62,62,popular sandwich cookie,62,0.04129067063331604,0.9575610160827637
63,63,nabisco nibble,63,0.040910668671131134,0.9743091464042664
64,64,creme-filled treat,64,0.041533712297677994,0.9428120255470276
65,65,after-lunch sandwich,65,0.05163663625717163,0.9515266418457031
66,66,two-toned cookie,66,0.030062992125749588,0.9800100326538086
67,67,bicolor bite,67,0.0278598852455616,0.9591577053070068
68,68,cookie with creme,68,0.03143007680773735,0.9541853666305542
69,69,circular snack,69,0.014954733662307262,0.9603197574615479
70,70,droxie alternative,70,0.019077513366937637,0.9709649682044983
71,71,filled cookie,71,0.030847793444991112,0.9763311743736267
72,72,layered cookies,72,0.015299693681299686,0.9698992371559143
73,73,sweet sandwiches,73,0.03969814255833626,0.9419546127319336
74,74,two-tone treats,74,0.030664561316370964,0.9519187211990356
75,75,lunchbox treats,75,0.017928320914506912,0.9558287262916565
76,76,treats with milk,76,0.02577172964811325,0.9402331113815308
77,77,hydrox alternative,77,0.029141481965780258,0.9727743268013
78,78,nabisco bestseller,78,0.03429852053523064,0.9652366042137146
79,79,vowel-rich cookie,79,0.03083297796547413,0.9761833548545837
80,80,stackable snack,80,0.013617351651191711,0.9658756256103516
81,81,cakesters brand,81,0.03972584754228592,0.9733684659004211
82,82,three-layer snack,82,0.005690105725079775,0.9774520993232727
83,83,nabisco product,83,0.03820304200053215,0.9650030136108398
84,84,treat for cookie monster,84,0.033310845494270325,0.9658490419387817
85,85,creme-filled chocolate cookie,85,0.026340708136558533,0.9590427279472351
86,86,crunchy ice-cream ingredient,86,0.03221195191144943,0.9766387939453125
87,87,snack cookie,87,0.04490632563829422,0.9558486342430115
88,88,sandwich-cookie name,88,0.03758818283677101,0.9594659209251404
89,89,twist-apart treat,89,0.026998749002814293,0.9485936760902405
90,90,cream-filled cookies,90,0.024798164144158363,0.9529461860656738
91,91,creme-filled cookies,91,0.045661382377147675,0.9748538732528687
92,92,double stuf treats,92,0.019026419147849083,0.94551682472229
