,title,question,names,x,y
0,0,sandwich cookie,0,0.7931891679763794,0.7097316384315491
1,1,black-and-white cookie,1,0.6234686374664307,0.7287049293518066
2,2,popular cookie,2,0.5079405307769775,0.6522563695907593
3,3,sweet sandwich,3,0.0,0.0
4,4,creme-filled cookie,4,0.8624104261398315,0.6935886740684509
5,5,nabisco cookie,5,0.7738452553749084,0.7079057693481445
6,6,cookie favorite,6,0.6579082012176514,0.6755829453468323
7,7,layered cookie,7,0.5973263382911682,0.6341601014137268
8,8,black-and-white treat,8,0.9374229907989502,0.708807110786438
9,9,two-tone treat,9,0.6649893522262573,0.7486754059791565
10,10,two-tone cookie,10,0.7280322313308716,0.7022898197174072
11,11,hydrox rival,11,0.3241346478462219,0.6633844375610352
12,12,triple-decker cookie,12,0.6464571356773376,0.6939406991004944
13,13,black-and-white cookies,13,0.5384975671768188,0.763079822063446
14,14,nabisco treat,14,0.7386288046836853,0.7184661030769348
15,15,cream-filled cookie,15,0.9744846224784851,0.6864638328552246
16,16,twistable cookie,16,0.6673676371574402,0.6967421174049377
17,17,best-selling cookie,17,0.7128353118896484,0.6517763137817383
18,18,sandwich cookies,18,0.3370913863182068,0.7613939046859741
19,19,twistable treat,19,0.7309657335281372,0.745801568031311
20,20,black-and-white snack,20,0.385929137468338,0.7267256379127502
21,21,cookie since 1912,21,0.5873702168464661,0.7332045435905457
22,22,creme cookie,22,0.8616003394126892,0.7092856168746948
23,23,cookie brand,23,0.7893906831741333,0.6605174541473389
24,24,lunchbox treat,24,0.5522416234016418,0.7375617027282715
25,25,dunkable treat,25,0.526359498500824,0.7740951180458069
26,26,three-layer cookie,26,0.5352617502212524,0.6775633096694946
27,27,classic cookie,27,0.8537969589233398,0.7091091871261597
28,28,cookie many take apart,28,0.827385425567627,0.7326934337615967
29,29,milk's favorite cookie,29,0.4794534146785736,0.7162646651268005
30,30,modern ice cream flavor,30,0.2274320423603058,0.7075717449188232
31,31,black-and-white snacks,31,0.4288073480129242,0.7279225587844849
32,32,double stuf cookie,32,0.8049899339675903,0.6589893698692322
33,33,creme-filled snack,33,0.7401686906814575,0.7006275653839111
34,34,two-toned treat,34,0.5605064034461975,0.7633669972419739
35,35,nabisco cookies,35,0.6691524982452393,0.7382479906082153
36,36,snack in a stack,36,0.3278011679649353,0.6813169121742249
37,37,black-and-white bite,37,0.5018085837364197,0.7016192078590393
38,38,nabisco favorite,38,0.7392351627349854,0.7089480757713318
39,39,black and white cookie,39,0.571223258972168,0.7312220335006714
40,40,white-centered snack,40,0.5810351967811584,0.7015969157218933
41,41,three-part cookies,41,0.40736693143844604,0.7263656258583069
42,42,nabisco goodie,42,0.729787290096283,0.7143383026123047
43,43,biscuit introduced in 1912,43,0.832641065120697,0.6650673747062683
44,44,snack since 1912,44,0.8373152613639832,0.7271445393562317
45,45,popular cookies,45,0.21777629852294922,0.7280964255332947
46,46,stackable cookie,46,0.7837600708007812,0.6936728358268738
47,47,triple-decker treat,47,0.48245784640312195,0.7362924814224243
48,48,nabisco brand,48,0.7659987807273865,0.6904198527336121
49,49,double delight snack,49,0.485737681388855,0.6394308805465698
50,50,treat with milk,50,0.9257319569587708,0.7280809879302979
51,51,lunchbox dessert,51,0.33359864354133606,0.69847172498703
52,52,dunkable cookie,52,0.6646544933319092,0.7087043523788452
53,53,three-layer treat,53,0.6460519433021545,0.7540611624717712
54,54,layered treat,54,0.5639761686325073,0.7724816799163818
55,55,layered snack,55,0.29655247926712036,0.6467020511627197
56,56,cookie often eaten inside-out,56,0.44149166345596313,0.633582353591919
57,57,mcflurry flavor,57,0.23015615344047546,0.6707901358604431
58,58,cookie choice,58,0.647806704044342,0.6752681136131287
59,59,common cookie,59,0.801994800567627,0.6578393578529358
60,60,cookie introduced in 1912,60,0.5742868185043335,0.7294889092445374
61,61,hydrox competitor,61,0.3271750211715698,0.689404308795929
62,62,popular sandwich cookie,62,0.7630296349525452,0.7272359132766724
63,63,nabisco nibble,63,0.8111151456832886,0.709101140499115
64,64,creme-filled treat,64,0.7531605958938599,0.7551328539848328
65,65,after-lunch sandwich,65,0.6968924403190613,0.7474448084831238
66,66,two-toned cookie,66,0.738960325717926,0.7062073349952698
67,67,bicolor bite,67,0.3499988913536072,0.6847301721572876
68,68,cookie with creme,68,0.8539870977401733,0.7035021781921387
69,69,circular snack,69,0.5467597842216492,0.6472381353378296
70,70,droxie alternative,70,0.38644230365753174,0.6994706988334656
71,71,filled cookie,71,0.7857388257980347,0.7007177472114563
72,72,layered cookies,72,0.40571969747543335,0.7166100144386292
73,73,sweet sandwiches,73,0.6411123871803284,0.7587979435920715
74,74,two-tone treats,74,0.7112986445426941,0.7679489254951477
75,75,lunchbox treats,75,0.6720064878463745,0.7511172890663147
76,76,treats with milk,76,0.8983728289604187,0.7374467849731445
77,77,hydrox alternative,77,0.5985252261161804,0.6614125370979309
78,78,nabisco bestseller,78,0.7582563161849976,0.7122160196304321
79,79,vowel-rich cookie,79,0.6124210357666016,0.6788758039474487
80,80,stackable snack,80,0.5805783867835999,0.6730354428291321
81,81,cakesters brand,81,0.6159880757331848,0.7062505483627319
82,82,three-layer snack,82,0.34278032183647156,0.6380164623260498
83,83,nabisco product,83,0.7703676223754883,0.7105667591094971
84,84,treat for cookie monster,84,0.8857501149177551,0.6695324182510376
85,85,creme-filled chocolate cookie,85,0.8032855987548828,0.7150314450263977
86,86,crunchy ice-cream ingredient,86,0.31013068556785583,0.7086042761802673
87,87,snack cookie,87,0.6527044177055359,0.7008978128433228
88,88,sandwich-cookie name,88,0.7754882574081421,0.7173388600349426
89,89,twist-apart treat,89,0.8251656889915466,0.7388626933097839
90,90,cream-filled cookies,90,0.7677887678146362,0.7415021657943726
91,91,creme-filled cookies,91,0.8553476929664612,0.7199931144714355
92,92,double stuf treats,92,0.6972851157188416,0.757771372795105
93,93,nabisco nosh,93,0.7987239360809326,0.6932476162910461
94,94,chocolate cookie,94,0.6616095900535583,0.6573536992073059
95,95,round sandwich,95,0.5417733788490295,0.7440057396888733
96,96,twistable snack,96,0.4727550148963928,0.6526476144790649
97,97,twist-apart cookie,97,0.907032310962677,0.7276115417480469
98,98,after-school treat,98,0.6984599232673645,0.5002618432044983
99,99,two-color cookie,99,0.5169353485107422,0.6821764707565308
100,100,popular cookie brand,100,0.783182680606842,0.6672545671463013
101,101,white-centered cookie,101,0.6543411612510681,0.6727972626686096
102,102,nabisco mainstay,102,0.8470331430435181,0.7087359428405762
103,103,cookie in some klondike bars,103,0.6711326241493225,0.6753984093666077
104,104,stackable cookies,104,0.38018688559532166,0.7020854949951172
105,105,after-lunch sandwiches,105,0.5916495323181152,0.7381057739257812
106,106,sandwiches for dessert,106,0.47075358033180237,0.7458513379096985
107,107,two-tone cookies,107,0.19794861972332,0.7068549990653992
108,108,after-school snack,108,0.4744306206703186,0.662585437297821
109,109,hydrox lookalike,109,0.401830792427063,0.6813285946846008
110,110,sandwich snack,110,0.4425937831401825,0.7062826156616211
111,111,nabisco classic,111,0.6913053393363953,0.7119777798652649
112,112,sweet snack,112,0.4400089979171753,0.6726125478744507
113,113,black and white treat,113,0.9335954189300537,0.7072908878326416
114,114,hydrox look-alike,114,0.3823174834251404,0.6593913435935974
115,115,dunkable dessert,115,0.3541293740272522,0.7053009867668152
116,116,sweet treat,116,0.6564199924468994,0.7793064117431641
117,117,double stuf treat,117,0.6813869476318359,0.7624105215072632
118,118,three-ply snack,118,0.4553622007369995,0.6695536971092224
119,119,three-part snack,119,0.3363834321498871,0.6326935291290283
120,120,wonderfilled cookie,120,0.47429734468460083,0.6756396293640137
121,121,double delight cookie,121,0.7860404253005981,0.6964668035507202
122,122,popular snack,122,0.5701654553413391,0.6620426177978516
123,123,sweet treat since 1912,123,0.7483767867088318,0.7048007249832153
124,124,three-tier cookie,124,0.8181994557380676,0.6527644395828247
125,125,twisted treat,125,0.4310762584209442,0.7554005980491638
126,126,snack item since 1912,126,0.8361207246780396,0.7166802287101746
127,127,cookie with a creme center,127,0.7772424221038818,0.6975818872451782
128,128,certain cookie,128,0.7396072745323181,0.6379318237304688
129,129,classic snack,129,0.3997591733932495,0.6616047024726868
130,130,snack first created in 1912,130,0.8226625323295593,0.729796290397644
131,131,stacked cookie,131,0.5243555307388306,0.68533855676651
132,132,two-tone dunker,132,0.488495409488678,0.6369455456733704
133,133,sandwich treats,133,0.5849756598472595,0.7302752137184143
134,134,black-and-white treats,134,0.9057849645614624,0.7173231840133667
135,135,twistable cookies,135,0.280679315328598,0.7143140435218811
136,136,two-tone snacks,136,0.364414244890213,0.6504322290420532
137,137,double stuf cookies,137,0.4323892295360565,0.7203139066696167
138,138,creme-filled snacks,138,0.7889938354492188,0.7080879807472229
139,139,some cookies,139,0.36075180768966675,0.72099769115448
140,140,twistable treats,140,0.4862525463104248,0.7516811490058899
141,141,crossword cookie,141,0.5040720105171204,0.6975921392440796
142,142,sandwich treat,142,0.5673186779022217,0.7374961376190186
143,143,nabisco offering,143,0.8110089898109436,0.7191270589828491
144,144,oft-dunked treat,144,0.5078150629997253,0.7579870223999023
145,145,black-and-white sandwich,145,0.48275429010391235,0.7406265735626221
146,146,black and white sandwich,146,0.43003562092781067,0.7463201880455017
147,147,lickable cookie,147,0.40912145376205444,0.68575519323349
148,148,nosh from nabisco,148,0.7940102815628052,0.7079489231109619
149,149,little dipper?,149,0.39347538352012634,0.6744205355644226
150,150,it comes in black and white,150,0.5506017208099365,0.702150821685791
151,151,big stuf cookie,151,0.4284479320049286,0.6882789731025696
152,152,ice cream flavor,152,0.3299202024936676,0.73616623878479
153,153,"double stuf, eg",153,0.41074225306510925,0.6871684193611145
154,154,tiered treat,154,0.4341476559638977,0.7603842616081238
155,155,crumbled ice cream topping,155,0.30419397354125977,0.7279239892959595
156,156,three-part cookie,156,0.6370119452476501,0.6740447878837585
157,157,snack choice,157,0.5960336923599243,0.6452959179878235
158,158,sister brand of nilla,158,0.6074803471565247,0.6933935880661011
159,159,billion-selling cookie,159,0.5263486504554749,0.7035291194915771
160,160,"ice-cream extra, perhaps",160,0.2041635364294052,0.7175154685974121
161,161,top-selling cookie,161,0.8205648064613342,0.6857107877731323
162,162,triple-decker snack,162,0.3674429655075073,0.6577602624893188
163,163,nabisco snack,163,0.8586410880088806,0.692320704460144
164,164,chocolate treat,164,0.5443178415298462,0.7426448464393616
165,165,dirt pie ingredient,165,0.325509250164032,0.6929689645767212
166,166,a favorite with milk,166,0.3010910749435425,0.7205379605293274
167,167,black and white snacks,167,0.3784891963005066,0.730255126953125
168,168,three-layer snacks,168,0.5713403224945068,0.6578843593597412
169,169,black and white cookies,169,0.527552604675293,0.7576837539672852
170,170,cookies in dirt cake,170,0.360183447599411,0.7334045171737671
171,171,lunchbox cookie,171,0.8774625658988953,0.6785007119178772
172,172,dessert sandwich,172,0.46205639839172363,0.7409399151802063
173,173,grade-school snack,173,0.453193724155426,0.6496416926383972
174,174,cookie with three parts,174,0.4968195855617523,0.6605929136276245
175,175,oft-dunked cookie,175,0.6639696955680847,0.661811113357544
176,176,chiaroscuro cookie,176,0.7211809754371643,0.6845402717590332
177,177,"milk's favorite cookie, according to ads",177,0.5328303575515747,0.7241381406784058
178,178,cookies-and-cream cookie,178,0.544181764125824,0.744280219078064
179,179,chocolate sandwich,179,0.5805839896202087,0.7793238759040833
180,180,snack that's often separated,180,0.40251246094703674,0.7097136974334717
181,181,bite in black and white,181,0.46565210819244385,0.7018468976020813
182,182,soft-centered snack,182,0.371360182762146,0.6435014009475708
183,183,black and white snack,183,0.4335077702999115,0.7282357811927795
184,184,cookie that predates crossword puzzles,184,0.6147325038909912,0.6765175461769104
185,185,crunchy ice cream flavor,185,0.25401443243026733,0.7246779203414917
