,title,question,names,x,y
0,0,sandwich cookie,0,0.5155916213989258,0.3946695923805237
1,1,black-and-white cookie,1,0.35190609097480774,0.40197494626045227
2,2,popular cookie,2,0.30105021595954895,0.2810797095298767
3,3,sweet sandwich,3,1.0,1.0
4,4,creme-filled cookie,4,0.4506087005138397,0.1724802702665329
5,5,nabisco cookie,5,0.3407272696495056,0.5029466152191162
6,6,cookie favorite,6,0.1572752594947815,0.24774900078773499
7,7,layered cookie,7,0.19443130493164062,0.3399767279624939
8,8,black-and-white treat,8,0.5143595337867737,0.3915444016456604
9,9,two-tone treat,9,0.1539517045021057,0.4974675476551056
10,10,two-tone cookie,10,0.10371097922325134,0.30674782395362854
11,11,hydrox rival,11,0.3956066071987152,0.4212644100189209
12,12,triple-decker cookie,12,0.22712986171245575,0.2966756522655487
13,13,black-and-white cookies,13,0.3820030093193054,0.532271683216095
14,14,nabisco treat,14,0.4709274172782898,0.5042458772659302
15,15,cream-filled cookie,15,0.5753132700920105,0.36056357622146606
16,16,twistable cookie,16,0.1319548785686493,0.17455822229385376
17,17,best-selling cookie,17,0.13555961847305298,0.2622618079185486
18,18,sandwich cookies,18,0.33819660544395447,0.4572661221027374
19,19,twistable treat,19,0.1651085615158081,0.5915142893791199
20,20,black-and-white snack,20,0.33247119188308716,0.3836088478565216
21,21,cookie since 1912,21,0.3903743624687195,0.5597671270370483
22,22,creme cookie,22,0.4645461142063141,0.2378770112991333
23,23,cookie brand,23,0.4571036100387573,0.6109720468521118
24,24,lunchbox treat,24,0.1585596352815628,0.600051760673523
25,25,dunkable treat,25,0.3098495602607727,0.6066733002662659
26,26,three-layer cookie,26,0.22650088369846344,0.30368560552597046
27,27,classic cookie,27,0.3067823350429535,0.14451655745506287
28,28,cookie many take apart,28,0.30545398592948914,0.4055107533931732
29,29,milk's favorite cookie,29,0.2760075330734253,0.4757733643054962
30,30,modern ice cream flavor,30,0.2952868640422821,0.6390730142593384
31,31,black-and-white snacks,31,0.39289140701293945,0.42151281237602234
32,32,double stuf cookie,32,0.31409260630607605,0.29618895053863525
33,33,creme-filled snack,33,0.46724027395248413,0.5944414734840393
34,34,two-toned treat,34,0.23869720101356506,0.6259704828262329
35,35,nabisco cookies,35,0.3526947796344757,0.6043214201927185
36,36,snack in a stack,36,0.39627182483673096,0.4716804623603821
37,37,black-and-white bite,37,0.4274826943874359,0.2920856475830078
38,38,nabisco favorite,38,0.39202049374580383,0.583449125289917
39,39,black and white cookie,39,0.3221474885940552,0.3975231945514679
40,40,white-centered snack,40,0.31496429443359375,0.6664053201675415
41,41,three-part cookies,41,0.17424210906028748,0.5515890717506409
42,42,nabisco goodie,42,0.45690467953681946,0.5078164935112
43,43,biscuit introduced in 1912,43,0.46007660031318665,0.5756173729896545
44,44,snack since 1912,44,0.40149223804473877,0.4251682758331299
45,45,popular cookies,45,0.2014584094285965,0.5611900687217712
46,46,stackable cookie,46,0.12528212368488312,0.2031727284193039
47,47,triple-decker treat,47,0.2363356053829193,0.6561437249183655
48,48,nabisco brand,48,0.364804744720459,0.6840152740478516
49,49,double delight snack,49,0.27449965476989746,0.3763178586959839
50,50,treat with milk,50,0.46592625975608826,0.4108414053916931
51,51,lunchbox dessert,51,0.22830234467983246,0.720131516456604
52,52,dunkable cookie,52,0.2489844262599945,0.45511624217033386
53,53,three-layer treat,53,0.08148069679737091,0.5673438310623169
54,54,layered treat,54,0.21397408843040466,0.5095476508140564
55,55,layered snack,55,0.27116626501083374,0.24990800023078918
56,56,cookie often eaten inside-out,56,0.11238578706979752,0.2940221428871155
57,57,mcflurry flavor,57,0.4460201561450958,0.31424659490585327
58,58,cookie choice,58,0.19950303435325623,0.30880844593048096
59,59,common cookie,59,0.29500994086265564,0.4042157232761383
60,60,cookie introduced in 1912,60,0.3344057500362396,0.602935254573822
61,61,hydrox competitor,61,0.4552167057991028,0.3580610752105713
62,62,popular sandwich cookie,62,0.5549631118774414,0.37045493721961975
63,63,nabisco nibble,63,0.44571158289909363,0.5131763815879822
64,64,creme-filled treat,64,0.3948272168636322,0.5953795313835144
65,65,after-lunch sandwich,65,0.4735720753669739,0.636180579662323
66,66,two-toned cookie,66,0.28159910440444946,0.20989303290843964
67,67,bicolor bite,67,0.4592982232570648,0.1564040184020996
68,68,cookie with creme,68,0.5233712792396545,0.2092137634754181
69,69,circular snack,69,0.4411131739616394,0.26866957545280457
70,70,droxie alternative,70,0.3338240385055542,0.2908424735069275
71,71,filled cookie,71,0.12509840726852417,0.5489944815635681
72,72,layered cookies,72,0.09164820611476898,0.5526631474494934
73,73,sweet sandwiches,73,0.5528772473335266,0.629138708114624
74,74,two-tone treats,74,0.1161353662610054,0.6525034308433533
75,75,lunchbox treats,75,0.2289961874485016,0.616864025592804
76,76,treats with milk,76,0.4938514828681946,0.43984854221343994
77,77,hydrox alternative,77,0.4340958595275879,0.5442151427268982
78,78,nabisco bestseller,78,0.41561925411224365,0.6390244364738464
79,79,vowel-rich cookie,79,0.2673470973968506,0.2982223927974701
80,80,stackable snack,80,0.36353057622909546,0.3229120373725891
81,81,cakesters brand,81,0.28569796681404114,0.5433313250541687
82,82,three-layer snack,82,0.3930606544017792,0.37919852137565613
83,83,nabisco product,83,0.4675152599811554,0.5625386834144592
84,84,treat for cookie monster,84,0.3882441222667694,0.43265700340270996
85,85,creme-filled chocolate cookie,85,0.42984506487846375,0.43041741847991943
