,title,question,names,x,y
0,0,sandwich cookie,0,0.42777156829833984,0.5931673645973206
1,1,black-and-white cookie,1,0.504423201084137,0.41418129205703735
2,2,popular cookie,2,0.5197923183441162,0.5403571724891663
3,3,mountain: prefix,3,0.6850625872612,0.3791024088859558
4,4,sweet sandwich,4,0.24019578099250793,0.6602337956428528
5,5,creme-filled cookie,5,0.5541038513183594,0.6197376251220703
6,6,nabisco cookie,6,0.4131486713886261,0.5140619277954102
7,7,cookie favorite,7,0.5365459322929382,0.4898729622364044
8,8,mountain: comb form,8,0.6942831873893738,0.4987276792526245
9,9,layered cookie,9,0.49500784277915955,0.42989614605903625
10,10,black-and-white treat,10,0.5080432891845703,0.5830038785934448
11,11,two-tone treat,11,0.45973342657089233,0.46516820788383484
12,12,two-tone cookie,12,0.6528800129890442,0.6750648617744446
13,13,hydrox rival,13,0.6236270070075989,0.4363222122192383
14,14,triple-decker cookie,14,0.44025087356567383,0.5040372610092163
15,15,black-and-white cookies,15,0.5000883340835571,0.5533046722412109
16,16,nabisco treat,16,0.34069281816482544,0.5335059762001038
17,17,cream-filled cookie,17,0.41656017303466797,0.3498149514198303
18,18,twistable cookie,18,0.6267638206481934,0.4005478620529175
19,19,best-selling cookie,19,0.5207966566085815,0.40271633863449097
20,20,sandwich cookies,20,0.4452054798603058,0.5348752737045288
21,21,twistable treat,21,0.46709921956062317,0.3742261826992035
22,22,black-and-white snack,22,0.4284079372882843,0.3999079763889313
23,23,cookie since 1912,23,0.42392808198928833,0.6782957315444946
24,24,creme cookie,24,0.6256434917449951,0.578411877155304
25,25,cookie brand,25,0.5044286847114563,0.46168938279151917
26,26,lunchbox treat,26,0.46223872900009155,0.6310727000236511
27,27,dunkable treat,27,0.4668980836868286,0.5304885506629944
28,28,three-layer cookie,28,0.3522983193397522,0.5121733546257019
29,29,classic cookie,29,0.37838879227638245,0.5164373517036438
30,30,cookie many take apart,30,0.6162370443344116,0.6521601676940918
31,31,milk's favorite cookie,31,0.48418352007865906,0.5244256854057312
32,32,modern ice cream flavor,32,0.482448011636734,0.41719454526901245
33,33,black-and-white snacks,33,0.36987248063087463,0.5916516780853271
34,34,double stuf cookie,34,0.6121427416801453,0.5094664096832275
35,35,creme-filled snack,35,0.5150477290153503,0.5824308395385742
36,36,two-toned treat,36,0.4981286823749542,0.6740054488182068
37,37,nabisco cookies,37,0.6167526245117188,0.5484660863876343
38,38,snack in a stack,38,0.656764566898346,0.5461453199386597
39,39,black-and-white bite,39,0.5095224976539612,0.5417547225952148
40,40,nabisco favorite,40,0.4948413372039795,0.5070528984069824
41,41,black and white cookie,41,0.4909616708755493,0.33553850650787354
42,42,white-centered snack,42,0.401981920003891,0.5875835418701172
43,43,three-part cookies,43,0.5308893322944641,0.6796035170555115
44,44,nabisco goodie,44,0.5775051116943359,0.5046828389167786
45,45,biscuit introduced in 1912,45,0.4204673171043396,0.6619298458099365
46,46,snack since 1912,46,0.524864912033081,0.6291455626487732
47,47,popular cookies,47,0.47987282276153564,0.3563888669013977
48,48,stackable cookie,48,0.33758673071861267,0.4920215904712677
49,49,triple-decker treat,49,0.48389771580696106,0.45754486322402954
50,50,nabisco brand,50,0.21678626537322998,0.5415420532226562
51,51,double delight snack,51,0.3859771490097046,0.5329975485801697
52,52,treat with milk,52,0.8536719679832458,0.4527437388896942
53,53,lunchbox dessert,53,0.6204791069030762,0.4018789529800415
54,54,dunkable cookie,54,0.3710709810256958,0.5730238556861877
55,55,three-layer treat,55,0.5155541300773621,0.2497965544462204
56,56,layered treat,56,0.4049278497695923,0.5101607441902161
57,57,layered snack,57,0.4971039593219757,0.5096644163131714
58,58,cookie often eaten inside-out,58,0.5943523645401001,0.46210387349128723
59,59,mcflurry flavor,59,0.5545457601547241,0.4093031883239746
60,60,cookie choice,60,0.5742575526237488,0.5323699712753296
61,61,common cookie,61,0.54970383644104,0.3264883756637573
62,62,cookie introduced in 1912,62,0.5014768242835999,0.6786358952522278
63,63,hydrox competitor,63,0.4651467800140381,0.5258529186248779
64,64,popular sandwich cookie,64,0.46451568603515625,0.3238423466682434
65,65,nabisco nibble,65,0.47365933656692505,0.4941841959953308
66,66,creme-filled treat,66,0.3870497941970825,0.4339604377746582
67,67,after-lunch sandwich,67,0.4563046097755432,0.4685455560684204
68,68,two-toned cookie,68,0.6091868877410889,0.4973251223564148
69,69,bicolor bite,69,0.38969963788986206,0.5542675256729126
70,70,cookie with creme,70,0.5812185406684875,0.40347597002983093
71,71,circular snack,71,0.6538624167442322,0.5036755800247192
72,72,droxie alternative,72,0.5124849677085876,0.20698265731334686
73,73,filled cookie,73,0.5796666145324707,0.4431520402431488
74,74,layered cookies,74,0.5130553245544434,0.5156329870223999
75,75,sweet sandwiches,75,0.45423460006713867,0.08513463288545609
76,76,two-tone treats,76,0.5099244117736816,0.5536444783210754
77,77,lunchbox treats,77,0.46833324432373047,0.521652102470398
78,78,treats with milk,78,0.6935409903526306,0.44058191776275635
79,79,hydrox alternative,79,0.5490712523460388,0.48665592074394226
80,80,nabisco bestseller,80,0.503203272819519,0.49993833899497986
81,81,vowel-rich cookie,81,0.3882938623428345,0.5912461876869202
82,82,stackable snack,82,0.4732016324996948,0.33617305755615234
83,83,cakesters brand,83,0.3917044997215271,0.2567746937274933
84,84,three-layer snack,84,0.5143495202064514,0.5215795040130615
85,85,nabisco product,85,0.4376283288002014,0.4941779673099518
86,86,treat for cookie monster,86,0.3186064660549164,0.5032203197479248
87,87,creme-filled chocolate cookie,87,0.5413776636123657,0.3672259747982025
88,88,crunchy ice-cream ingredient,88,0.49544474482536316,0.5081811547279358
89,89,snack cookie,89,0.5951662063598633,0.2876794636249542
90,90,sandwich-cookie name,90,0.5316133499145508,0.33163315057754517
91,91,twist-apart treat,91,0.7423797249794006,0.3827950060367584
92,92,cream-filled cookies,92,0.4408316910266876,0.7223693132400513
93,93,creme-filled cookies,93,0.47340282797813416,0.4899939000606537
94,94,double stuf treats,94,0.5114668607711792,0.7913902997970581
95,95,nabisco nosh,95,0.41320106387138367,0.48581424355506897
96,96,chocolate cookie,96,0.47669148445129395,0.3372701406478882
97,97,round sandwich,97,0.3642186224460602,0.09223487228155136
98,98,twistable snack,98,0.604476809501648,0.44608476758003235
99,99,twist-apart cookie,99,0.657772958278656,0.8765755295753479
100,100,after-school treat,100,0.5012069940567017,0.2267734855413437
101,101,two-color cookie,101,0.46448060870170593,0.3381875455379486
102,102,popular cookie brand,102,0.5086239576339722,0.7626543045043945
103,103,white-centered cookie,103,0.46307817101478577,0.40872812271118164
104,104,nabisco mainstay,104,0.6358410120010376,0.4960635304450989
105,105,cookie in some klondike bars,105,0.5777056813240051,0.45558643341064453
106,106,stackable cookies,106,0.49228060245513916,0.8052245378494263
107,107,after-lunch sandwiches,107,0.37054765224456787,0.26344501972198486
108,108,sandwiches for dessert,108,0.12958954274654388,0.49112963676452637
109,109,two-tone cookies,109,0.4831126928329468,0.6267680525779724
110,110,after-school snack,110,0.47689470648765564,0.33991682529449463
111,111,hydrox lookalike,111,0.37134256958961487,0.3149571418762207
112,112,sandwich snack,112,0.34729382395744324,0.4553368091583252
113,113,nabisco classic,113,0.5384857654571533,0.6077701449394226
114,114,sweet snack,114,0.5171041488647461,0.5337609052658081
115,115,black and white treat,115,0.5222307443618774,0.5422669649124146
116,116,hydrox look-alike,116,0.38970792293548584,0.5916095972061157
117,117,dunkable dessert,117,0.5665150880813599,0.4208945333957672
118,118,sweet treat,118,0.4960746467113495,0.8599751591682434
119,119,double stuf treat,119,0.48092421889305115,0.8814803957939148
120,120,three-ply snack,120,0.6861458420753479,0.4180779457092285
121,121,three-part snack,121,0.5445926785469055,0.4462337791919708
122,122,wonderfilled cookie,122,0.6378303170204163,0.49953216314315796
123,123,double delight cookie,123,0.4839290380477905,0.511206328868866
124,124,popular snack,124,0.6248357892036438,0.45388299226760864
125,125,sweet treat since 1912,125,0.44958773255348206,0.6455109119415283
126,126,three-tier cookie,126,0.5608401298522949,0.5092059969902039
127,127,twisted treat,127,0.521669864654541,0.4651864469051361
128,128,snack item since 1912,128,0.572040319442749,0.6493980288505554
129,129,cookie with a creme center,129,0.5812851190567017,0.49871906638145447
130,130,certain cookie,130,0.29788315296173096,0.49757444858551025
131,131,classic snack,131,0.37815430760383606,0.46265095472335815
132,132,snack first created in 1912,132,0.6005852818489075,0.6119490265846252
133,133,stacked cookie,133,0.36480242013931274,0.47554072737693787
134,134,two-tone dunker,134,0.6430987119674683,0.5876076221466064
135,135,sandwich treats,135,0.4105655550956726,0.5569215416908264
136,136,black-and-white treats,136,0.5144605040550232,0.5349425673484802
137,137,twistable cookies,137,0.5190935134887695,0.28923627734184265
138,138,two-tone snacks,138,0.5079035758972168,0.48900356888771057
139,139,double stuf cookies,139,0.4566248059272766,0.5186191201210022
140,140,creme-filled snacks,140,0.5308459997177124,0.6002098917961121
141,141,some cookies,141,0.5342308878898621,0.4805169701576233
142,142,twistable treats,142,0.4804493188858032,0.6514787077903748
143,143,crossword cookie,143,0.6172651648521423,0.48920878767967224
144,144,sandwich treat,144,0.42419201135635376,0.5058409571647644
145,145,nabisco offering,145,0.4882138669490814,0.5028043985366821
146,146,oft-dunked treat,146,0.4731942415237427,0.4142005443572998
147,147,black-and-white sandwich,147,0.5353016257286072,0.37553778290748596
148,148,black and white sandwich,148,0.5579128861427307,0.3907872438430786
149,149,lickable cookie,149,0.5090701580047607,0.6604930758476257
150,150,nosh from nabisco,150,0.5302615761756897,0.6053928732872009
151,151,little dipper?,151,0.4908052682876587,0.3459565043449402
152,152,it comes in black and white,152,0.48871049284935,0.4964810609817505
153,153,big stuf cookie,153,0.672589898109436,0.43058082461357117
