clue
sandwich cookie
black-and-white cookie
popular cookie
mountain: prefix
sweet sandwich
creme-filled cookie
nabisco cookie
cookie favorite
mountain: comb form
layered cookie
black-and-white treat
two-tone treat
two-tone cookie
hydrox rival
triple-decker cookie
black-and-white cookies
nabisco treat
cream-filled cookie
twistable cookie
best-selling cookie
sandwich cookies
twistable treat
black-and-white snack
cookie since 1912
creme cookie
cookie brand
lunchbox treat
dunkable treat
three-layer cookie
classic cookie
cookie many take apart
"milk's favorite cookie"
modern ice cream flavor
black-and-white snacks
double stuf cookie
creme-filled snack
two-toned treat
nabisco cookies
snack in a stack
black-and-white bite
nabisco favorite
black and white cookie
white-centered snack
three-part cookies
nabisco goodie
"biscuit" introduced in 1912
snack since 1912
popular cookies
stackable cookie
triple-decker treat
nabisco brand
double delight snack
treat with milk
lunchbox dessert
dunkable cookie
three-layer treat
layered treat
layered snack
cookie often eaten inside-out
mcflurry flavor
cookie choice
common cookie
cookie introduced in 1912
hydrox competitor
popular sandwich cookie
nabisco nibble
creme-filled treat
after-lunch sandwich
two-toned cookie
bicolor bite
cookie with creme
circular snack
droxie alternative
filled cookie
layered cookies
sweet sandwiches
two-tone treats
lunchbox treats
treats with milk
hydrox alternative
nabisco bestseller
vowel-rich cookie
stackable snack
cakesters brand
three-layer snack
nabisco product
treat for cookie monster
creme-filled chocolate cookie
crunchy ice-cream ingredient
snack cookie
sandwich-cookie name
twist-apart treat
cream-filled cookies
creme-filled cookies
double stuf treats
nabisco nosh
chocolate cookie
round sandwich
twistable snack
twist-apart cookie
after-school treat
two-color cookie
popular cookie brand
white-centered cookie
nabisco mainstay
cookie in some klondike bars
stackable cookies
after-lunch sandwiches
sandwiches for dessert
two-tone cookies
after-school snack
hydrox lookalike
sandwich snack
nabisco classic
sweet snack
black and white treat
hydrox look-alike
dunkable dessert
sweet treat
double stuf treat
three-ply snack
three-part snack
"wonderfilled" cookie
double delight cookie
popular snack
sweet treat since 1912
three-tier cookie
twisted treat
snack item since 1912
cookie with a creme center
certain cookie
classic snack
snack first created in 1912
stacked cookie
two-tone dunker
sandwich treats
black-and-white treats
twistable cookies
two-tone snacks
double stuf cookies
creme-filled snacks
some cookies
twistable treats
crossword cookie
sandwich treat
nabisco offering
oft-dunked treat
black-and-white sandwich
black and white sandwich
lickable cookie
nosh from nabisco
little dipper?
it comes in black and white
big stuf cookie
ice cream flavor
double stuf, eg
tiered treat
crumbled ice cream topping
three-part cookie
snack choice
sister brand of nilla
billion-selling cookie
ice-cream extra, perhaps
top-selling cookie
triple-decker snack
nabisco snack
chocolate treat
dirt pie ingredient
a favorite with milk
black and white snacks
three-layer snacks
black and white cookies
cookies in dirt cake
lunchbox cookie
dessert sandwich
grade-school snack
cookie with three parts
oft-dunked cookie
chiaroscuro cookie
"milk's favorite cookie," according to ads
cookies-and-cream cookie
chocolate sandwich
snack that's often separated
bite in black and white
soft-centered snack
black and white snack
cookie that predates crossword puzzles
crunchy ice cream flavor
multi-level cookie
sunshine hydrox alternative
classic nabisco snack
stratified snack
dirt cake ingredient
ice cream add-in
lickable treat
white-and-black stacked snack
hundred-year-old cookie
milk go-with
stacked snack
kraft cookie brand
lunch box treat
licked cookie
triple-layer cookie
oft-twisted cookie
popular snack since 1912
sandwich-style sweet
oft-twisted treat
longtime hydrox competitor
